PID,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45
192148,3,4,4,5,3,5,3,4,5,4,5,6,4,3,6,2,3,4,7,1,2,6,4,4,3,5,4,4,3,5,3,5,4,5,3,3,5,5,4,3,5,5,4,3,4
332270,4,1,5,3,3,4,4,5,3,5,1,6,7,5,6,7,7,6,5,4,6,6,7,6,5,5,6,3,3,5,5,4,3,2,5,2,4,4,2,5,3,2,4,5,4
737407,5,3,5,4,7,5,4,5,7,4,5,4,4,1,6,4,6,5,5,4,4,6,6,7,1,2,1,6,4,6,2,1,6,7,2,4,5,4,4,4,5,3,5,5,5
680034,6,3,7,3,6,3,4,4,6,4,7,7,6,4,6,4,3,2,5,5,5,5,5,5,5,4,5,4,2,5,7,4,4,3,4,3,4,6,1,5,2,6,5,5,4
1408696,3,3,2,5,4,2,3,4,4,3,3,5,4,4,5,2,3,3,1,2,2,4,4,4,5,4,5,6,6,6,7,6,7,4,7,7,5,6,5,6,5,1,6,1,5
164268,5,4,5,5,4,5,5,4,4,4,4,3,3,4,7,4,5,4,3,3,3,5,5,3,4,5,4,2,4,2,6,6,6,4,6,7,5,6,1,6,5,3,7,3,7
95673,1,4,4,5,3,1,3,4,3,3,4,5,4,4,5,3,4,2,7,3,7,4,5,2,6,6,6,6,4,3,6,5,5,4,5,3,5,7,5,6,4,4,5,4,5
294309,3,4,6,3,6,4,4,4,7,4,2,3,5,3,4,3,4,5,3,1,7,5,5,3,5,6,5,3,4,4,5,3,6,5,6,3,4,3,5,4,3,2,4,5,4
1037688,3,2,4,7,3,3,2,3,3,1,4,6,6,5,6,6,4,5,4,5,6,5,5,5,4,3,3,7,4,6,7,4,4,4,6,5,5,4,4,4,5,3,5,5,5
386589,3,3,4,6,4,4,3,2,4,4,1,5,5,5,5,5,2,5,5,4,5,1,6,4,7,4,7,6,5,6,4,5,4,4,5,4,6,5,3,7,3,4,6,6,7
349556,4,3,3,5,4,3,4,4,5,3,4,4,4,3,5,4,4,4,4,4,5,6,6,6,3,2,2,7,4,7,7,6,6,7,6,5,4,5,5,5,5,1,5,5,5
1309554,2,1,4,6,3,4,4,2,3,3,4,7,6,5,6,7,7,7,5,4,4,5,6,5,4,5,3,5,4,5,4,4,4,5,5,6,3,6,5,2,3,4,5,5,6
279238,5,4,7,7,6,4,4,4,2,7,3,5,3,3,5,5,3,3,3,3,5,3,3,3,5,5,2,6,5,4,6,6,6,6,6,1,5,7,2,2,2,5,5,5,2
1409716,4,5,4,5,4,2,5,5,5,6,7,3,5,5,5,5,4,3,4,4,4,4,4,4,6,6,7,4,4,1,6,5,6,6,6,3,1,1,3,5,3,1,2,3,5
470116,4,4,6,6,4,4,4,4,4,4,4,5,2,5,5,1,4,4,4,3,3,6,4,7,6,5,6,7,5,7,2,3,5,4,5,5,3,7,5,3,5,6,3,6,3
249378,4,1,4,1,3,4,3,3,4,3,3,5,5,6,4,5,1,1,5,3,7,7,7,7,4,4,5,3,2,2,6,3,6,6,6,5,6,5,4,5,5,2,5,5,6
276390,5,3,4,3,5,7,5,5,4,7,1,6,7,6,5,3,4,4,6,6,5,3,4,5,6,2,2,3,6,4,3,3,4,5,4,3,5,4,4,4,4,5,3,5,4
293384,4,1,7,6,4,4,4,1,5,3,1,2,3,3,3,2,4,3,2,2,1,5,4,4,5,5,6,7,4,4,6,3,5,3,6,7,5,7,5,6,6,5,5,6,5
955969,5,5,5,4,5,4,5,5,5,5,5,3,6,4,4,6,3,4,6,6,6,3,3,3,7,3,4,2,2,1,3,3,4,3,3,3,4,5,5,6,5,4,6,3,4
192256,4,4,4,5,4,4,3,4,4,5,3,2,4,1,3,1,4,2,4,1,3,4,4,3,7,5,7,5,4,5,5,6,5,4,6,5,6,6,6,6,5,5,7,6,7
1004934,4,3,5,4,3,4,3,3,4,4,3,3,4,4,6,3,2,1,3,3,3,3,7,4,6,7,6,5,4,5,6,5,6,4,6,5,4,5,2,5,4,4,5,5,5
1406297,3,1,4,5,3,4,5,4,2,2,3,7,7,6,7,5,5,4,5,5,6,5,6,5,4,4,4,3,3,3,4,2,2,1,4,5,5,2,3,5,7,3,6,6,6
382694,3,3,6,6,3,6,4,6,2,2,2,5,5,5,5,5,6,7,5,5,5,5,5,5,3,1,3,1,1,1,2,5,3,4,2,7,3,6,2,6,7,2,7,4,4
424701,3,3,6,6,4,4,5,4,4,4,4,7,7,7,7,6,5,4,5,2,3,5,3,4,6,5,5,6,6,6,3,1,2,4,3,5,5,5,4,5,4,3,5,4,5
389600,5,4,6,7,4,5,5,3,4,4,5,4,4,4,5,2,3,3,5,3,2,5,1,3,7,7,7,5,5,5,6,6,4,6,6,4,5,4,6,6,4,4,5,4,4
1440402,5,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,2,7,3,3,5,5,3,3,3,3,3,5
1271340,4,5,2,6,2,3,4,6,3,3,5,2,4,3,5,4,2,3,5,1,3,6,5,4,3,5,2,4,7,2,5,6,5,4,3,3,3,6,5,7,7,1,2,5,3
233992,3,3,4,4,3,3,3,3,3,3,3,1,2,2,4,2,3,3,2,3,4,4,2,2,6,6,6,6,7,7,5,5,5,4,5,4,5,5,5,4,4,4,5,4,4
1100630,3,3,4,5,3,3,5,3,3,3,3,6,6,6,6,6,5,5,5,5,5,5,5,5,3,3,2,1,2,3,3,6,4,4,2,7,5,1,6,4,5,1,4,4,4
1212952,1,2,3,6,3,3,2,3,2,2,4,5,5,4,5,4,4,4,6,6,5,6,6,5,3,5,3,4,4,5,4,4,4,3,5,5,5,5,4,7,4,4,7,6,5
943802,3,3,3,4,4,3,3,4,4,3,4,4,4,4,6,4,6,4,4,3,6,5,6,6,4,3,2,5,6,5,2,7,4,7,7,5,5,5,5,5,5,5,1,5,5
